Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Detective Byomkesh Bakshy!,7.6,Dibakar Banerjee,"Urmi Juvekar, Dibakar Banerjee, Saradindu Bandopadhyay",76.0,2015,India,Hindi,4552665.0,2 hours 19 minutes
Lisbela e o Prisioneiro,7.6,Guel Arraes,"Guel Arraes, Jorge Furtado, Pedro Cardoso",76.0,2003,Brazil,Portuguese,8842229.0,1 hour 46 minutes
Maurice Richard,7.6,Charles Binamé,Ken Scott,76.0,2005,Canada,"French, English",8012838.0,2 hours 4 minutes
When You're Strange,7.6,Tom DiCillo,Tom DiCillo,55.0,2010,United States,English,1194182.0,1 hour 26 minutes
Madaari,7.6,Nishikant Kamat,"Shailja Kejriwal, Ritesh Shah",76.0,2016,India,Hindi,2726272.0,2 hours 13 minutes
Avicii: True Stories,7.6,Levan Tsikurishvili,Levan Tsikurishvili,76.0,2017,"Sweden, Netherlands","English, Swedish",3887.0,1 hour 37 minutes
Kannum Kannum Kollaiyadithaal,7.6,Desingh Periyasamy,Desingh Periyasamy,76.0,2020,India,Tamil,104155.0,2 hours 40 minutes
Court,7.6,Chaitanya Tamhane,Chaitanya Tamhane,83.0,2015,India,"Marathi, English, Hindi",57416.0,1 hour 56 minutes
Raja Rani,7.6,Atlee,Atlee,76.0,2013,India,Tamil,2731185.0,2 hours 40 minutes
Awe!,7.6,Prasanth Varma,"Prakathes Kumar, Prasanth Varma",76.0,2018,India,Telugu,47386.0,2 hours 30 minutes
The Fear of 13,7.6,David Sington,"Herbert A. Fuchs, Sammy Silverwatch, Nick Yarris",76.0,2015,United Kingdom,English,5707166.5,1 hour 36 minutes
Beyond the Mat,7.6,Barry W. Blaustein,Barry W. Blaustein,73.0,2000,United States,English,2053648.0,1 hour 42 minutes
Indie Game: The Movie,7.6,"Lisanne Pajot, James Swirsky","Jonathan Blow, Brandon Boyer, Renaud Bédard",73.0,2012,Canada,"English, French",9074711.0,1 hour 43 minutes
Parmanu: The Story of Pokhran,7.6,Abhishek Sharma,"Saiwyn Quadras, Sanyuktha Chawla Shaikh, Abhishek Sharma",76.0,2018,India,Hindi,9862726.0,2 hours 9 minutes
Badkonake sefid,7.6,Jafar Panahi,"Abbas Kiarostami, Jafar Panahi, Parviz Shahbazi",76.0,1995,Iran,Persian,924940.0,1 hour 25 minutes
Homecoming: A Film by Beyoncé,7.6,"Beyoncé, Ed Burke",Beyoncé,76.0,2019,United States,English,10088753.0,2 hours 17 minutes
The Criminal Life of Archibaldo De La Cruz,7.6,Luis Buñuel,"Luis Buñuel, Eduardo Ugarte, Rodolfo Usigli",76.0,1955,Mexico,"Spanish, English",28033.5,1 hour 29 minutes
Pokkiri,7.6,Prabhu Deva,"Nagesh Bharadwaj, Prabhu Deva, Puri Jagannadh",76.0,2007,India,Tamil,13801271.5,2 hours 41 minutes
More Than a Game,7.6,Kristopher Belman,"Kristopher Belman, Brad Hogan",59.0,2009,United States,English,960387.0,1 hour 45 minutes
Side by Side,7.6,Christopher Kenneally,Christopher Kenneally,82.0,2012,United States,English,67054.0,1 hour 39 minutes
U2: Rattle and Hum,7.6,Phil Joanou,"Bono, The Edge, Adam Clayton",76.0,1988,United States,English,8600823.0,1 hour 39 minutes
Aamir,7.6,Raj Kumar Gupta,Raj Kumar Gupta,76.0,2008,India,Hindi,831931.0,1 hour 39 minutes
Weiner,7.6,"Josh Kriegman, Elyse Steinberg","Josh Kriegman, Elyse Steinberg, Eli B. Despres",84.0,2016,United States,English,1715955.0,1 hour 36 minutes
Vitus,7.6,Fredi M. Murer,"Peter Luisi, Fredi M. Murer, Lukas B. Suter",63.0,2006,Switzerland,"Swiss German, English, German",6079556.0,1 hour 40 minutes
Bhavesh Joshi Superhero,7.6,Vikramaditya Motwane,"Vikramaditya Motwane, Anurag Kashyap, Abhay Koranne",76.0,2018,India,Hindi,334723.0,2 hours 34 minutes
Musíme si pomáhat,7.6,Jan Hrebejk,"Jan Hrebejk, Petr Jarchovský",69.0,2000,Czech Republic,"German, Czech",2046440.0,2 hours
Irudhi Suttru,7.6,Sudha Kongara,"Sudha Kongara, Madhavan, Arun Matheswaran",76.0,2016,India,"Tamil, Hindi",94787.0,1 hour 49 minutes
Kirschblüten - Hanami,7.6,Doris Dörrie,Doris Dörrie,62.0,2008,Germany,"German, English, Japanese",12861658.0,2 hours 7 minutes
