Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Nomadland,7.3,Chloé Zhao,"Chloé Zhao, Jessica Bruder",87.0,2021,United States,English,39458207.0,1 hour 47 minutes
Lars and the Real Girl,7.3,Craig Gillespie,Nancy Oliver,70.0,2007,"Canada, United States","English, Spanish",11293663.0,1 hour 46 minutes
Raising Arizona,7.3,"Joel Coen, Ethan Coen","Ethan Coen, Joel Coen",69.0,1987,United States,English,29180280.0,1 hour 34 minutes
Crimson Tide,7.3,Tony Scott,"Michael Schiffer, Richard P. Henrick",66.0,1995,United States,English,157387195.0,1 hour 56 minutes
Rocketman,7.3,Dexter Fletcher,Lee Hall,69.0,2019,"United Kingdom, United States, Canada",English,195320400.0,2 hours 1 minute
Despicable Me 2,7.3,"Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio",62.0,2013,United States,"English, Ukrainian",970766005.0,1 hour 38 minutes
Instant Family,7.3,Sean Anders,"Sean Anders, John Morris",57.0,2020,United States,"English, Spanish",120989830.0,1 hour 58 minutes
A Walk to Remember,7.3,Adam Shankman,"Nicholas Sparks, Karen Janszen",35.0,2018,United States,English,47494916.0,1 hour 41 minutes
The LEGO Batman Movie,7.3,Chris McKay,"Seth Grahame-Smith, Chris McKenna, Erik Sommers",75.0,2017,"United States, Denmark, Australia",English,312336671.0,1 hour 44 minutes
Raya and the Last Dragon,7.3,"Don Hall, Carlos López Estrada, Paul Briggs","Qui Nguyen, Adele Lim, Paul Briggs",74.0,2021,United States,English,130423032.0,1 hour 47 minutes
The Way Back,7.3,Peter Weir,"Peter Weir, Keith R. Clarke, Slavomir Rawicz",66.0,2011,"India, Poland, United Arab Emirates, United States","English, Russian, Polish, Tibetan, Mongolian",24172201.0,2 hours 13 minutes
First Man,7.3,Damien Chazelle,"Josh Singer, James R. Hansen",84.0,2018,"United States, Japan, China",English,105713218.0,2 hours 21 minutes
Kung Fu Panda 2,7.3,Jennifer Yuh Nelson,"Jonathan Aibel, Glenn Berger, Ethan Reiff",67.0,2011,"United States, Canada",English,665692281.0,1 hour 30 minutes
Across the Universe,7.3,Julie Taymor,"Dick Clement, Ian La Frenais, Julie Taymor",56.0,2007,"United Kingdom, United States",English,29625761.0,2 hours 13 minutes
The Man in the Moon,7.3,Robert Mulligan,Jenny Wingfield,73.0,1991,United States,English,2853801.0,1 hour 39 minutes
Death on the Nile,7.3,John Guillermin,"Anthony Shaffer, Agatha Christie",59.0,1978,United Kingdom,"English, French, Arabic, German",14569266.0,2 hours 20 minutes
Cabrini,7.3,Alejandro Monteverde,"Rod Barr, Alejandro Monteverde",51.0,2024,United States,English,20460915.0,2 hours 22 minutes
Memoirs of a Geisha,7.3,Rob Marshall,"Robin Swicord, Arthur Golden",54.0,2022,United States,"English, Japanese",162242962.0,2 hours 25 minutes
Fallen Leaves,7.3,Aki Kaurismäki,Aki Kaurismäki,86.0,2023,"Finland, Germany","Finnish, Arabic",6627590.0,1 hour 21 minutes
Eraserhead,7.3,David Lynch,David Lynch,87.0,1978,United States,English,25700.0,1 hour 29 minutes
Matchstick Men,7.3,Ridley Scott,"Eric Garcia, Nicholas Griffin, Ted Griffin",61.0,2003,United States,English,65565672.0,1 hour 56 minutes
Submarine,7.3,Richard Ayoade,"Richard Ayoade, Joe Dunthorne",76.0,2011,"United Kingdom, United States",English,3875173.0,1 hour 37 minutes
Hustle,7.3,Jeremiah Zagar,"Taylor Materne, Will Fetters",68.0,2022,United States,"English, Serbian, Spanish",3253561.5,1 hour 57 minutes
The Guernsey Literary and Potato Peel Pie Society,7.3,Mike Newell,"Don Roos, Kevin Hood, Thomas Bezucha",65.0,2018,"United Kingdom, France, United States","English, German, French",23148937.0,2 hours 4 minutes
Wall Street,7.3,Oliver Stone,"Stanley Weiser, Oliver Stone",56.0,1987,United States,English,43848069.0,2 hours 6 minutes
Holiday Inn,7.3,"Mark Sandrich, Robert Allen","Claude Binyon, Elmer Rice, Irving Berlin",70.0,1942,United States,English,80.0,1 hour 40 minutes
Ghost World,7.3,Terry Zwigoff,"Daniel Clowes, Terry Zwigoff",90.0,2001,"United Kingdom, Germany, United States",English,8764389.0,1 hour 51 minutes
Grand Hotel,7.3,Edmund Goulding,"Vicki Baum, William Absalom Drake, Béla Balázs",79.0,1932,United States,"English, Russian",3438.5,1 hour 52 minutes
The Adventures of Tintin,7.3,Steven Spielberg,"Hergé, Steven Moffat, Edgar Wright",68.0,2011,"United States, New Zealand",English,373994233.0,1 hour 47 minutes
The Return of the Living Dead,7.3,Dan O'Bannon,"Rudy Ricci, John A. Russo, Russell Streiner",66.0,1985,United States,English,14241310.0,1 hour 31 minutes
Old Henry,7.3,Potsy Ponciroli,Potsy Ponciroli,69.0,2021,United States,"English, Spanish",77463.0,1 hour 39 minutes
The Edge of Seventeen,7.3,Kelly Fremon Craig,Kelly Fremon Craig,77.0,2020,"United States, China",English,19370020.0,1 hour 44 minutes
Heavenly Creatures,7.3,Peter Jackson,"Fran Walsh, Peter Jackson",86.0,1994,"New Zealand, Germany","English, French, Spanish",3049950.0,1 hour 39 minutes
Pusher,7.3,Nicolas Winding Refn,"Jens Dahl, Nicolas Winding Refn",72.0,1996,Denmark,"Danish, Swedish, Serbian, English",1605.0,1 hour 50 minutes
The Fundamentals of Caring,7.3,Rob Burnett,"Rob Burnett, Jonathan Evison",55.0,2017,United States,English,15697699.0,1 hour 37 minutes
The Constant Gardener,7.3,Fernando Meirelles,"Jeffrey Caine, John le Carré",82.0,2006,"United Kingdom, Germany, Kenya, France, United States, Switzerland","English, Italian, Swahili, German",82468097.0,2 hours 9 minutes
Decision to Leave,7.3,Park Chan-wook,"Park Chan-wook, Chung Seo-kyung",85.0,2022,South Korea,"Korean, Mandarin, English",22026067.0,2 hours 19 minutes
Sexy Beast,7.3,Jonathan Glazer,"Louis Mellis, David Scinto",79.0,2001,"United Kingdom, Spain, United States","English, Spanish",10048987.0,1 hour 29 minutes
The Disaster Artist,7.3,James Franco,"Scott Neustadter, Michael H. Weber, Greg Sestero",76.0,2017,United States,English,29820616.0,1 hour 44 minutes
The Hand of God,7.3,Paolo Sorrentino,Paolo Sorrentino,76.0,2021,"Italy, United States","Italian, Neapolitan",167909.0,2 hours 10 minutes
Precious,7.3,Lee Daniels,"Geoffrey Fletcher, Sapphire",78.0,2009,United States,"English, Italian",63649529.0,1 hour 50 minutes
Rango,7.3,Gore Verbinski,"John Logan, Gore Verbinski, James Ward Byrkit",75.0,2011,"United States, United Kingdom",English,245724603.0,1 hour 47 minutes
Megamind,7.3,Tom McGrath,"Alan Schoolcraft, Brent Simons",63.0,2010,"United States, Australia",English,321885765.0,1 hour 35 minutes
Quest for Fire,7.3,Jean-Jacques Annaud,"Gérard Brach, J.H. Rosny Sr.",79.0,1981,"Canada, France","None, French",20962615.0,1 hour 40 minutes
Peter Pan,7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","J.M. Barrie, Ted Sears, Erdman Penner",76.0,1953,United States,"English, American Sign Language",87405849.0,1 hour 17 minutes
Cinderella,7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Charles Perrault, Bill Peet, Erdman Penner",85.0,1950,United States,English,96383330.0,1 hour 14 minutes
Rounders,7.3,John Dahl,"David Levien, Brian Koppelman",53.0,1998,United States,"English, Hebrew, Russian",22912409.0,2 hours 1 minute
The Way,7.3,Emilio Estevez,"Emilio Estevez, Jack Hitt",64.0,2010,"Spain, United States","English, Spanish, French, Catalan, Italian",13916152.0,2 hours 3 minutes
Snowden,7.3,Oliver Stone,"Kieran Fitzgerald, Oliver Stone, Luke Harding",58.0,2017,"United States, Germany, France","English, American Sign Language, Russian",37357216.0,2 hours 14 minutes
Much Ado About Nothing,7.3,Kenneth Branagh,"William Shakespeare, Kenneth Branagh",80.0,1993,"United Kingdom, United States",English,22549338.0,1 hour 51 minutes
Alice in Wonderland,7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Lewis Carroll, Winston Hibler, Ted Sears",68.0,1951,United States,English,865.0,1 hour 15 minutes
Enemy of the State,7.3,Tony Scott,David Marconi,67.0,1998,United States,"English, Spanish",250849789.0,2 hours 12 minutes
Frida,7.3,Julie Taymor,"Hayden Herrera, Clancy Sigal, Diane Lake",61.0,2004,United States,"English, French, Russian",56298474.0,2 hours 3 minutes
Death at a Funeral,7.3,Frank Oz,Dean Craig,67.0,2017,"Netherlands, United Kingdom, Germany, United States",English,46789726.0,1 hour 30 minutes
North Country,7.3,Niki Caro,"Michael Seitzman, Clara Bingham, Laura Leedy",68.0,2020,United States,English,25211175.0,2 hours 6 minutes
Official Secrets,7.3,Gavin Hood,"Sara Bernstein, Gregory Bernstein, Gavin Hood",63.0,2019,"United Kingdom, United States, China, Canada","English, Mandarin",10088753.0,1 hour 52 minutes
The Unbearable Lightness of Being,7.3,Philip Kaufman,"Milan Kundera, Jean-Claude Carrière, Philip Kaufman",73.0,1988,United States,"English, Czech",10006806.0,2 hours 51 minutes
Pale Rider,7.3,Clint Eastwood,"Michael Butler, Dennis Shryack",61.0,1985,United States,English,41410568.0,1 hour 55 minutes
Amistad,7.3,Steven Spielberg,David Franzoni,64.0,1997,United States,"English, Mende, Spanish, Portuguese",44229441.0,2 hours 35 minutes
The Nightingale,7.3,Jennifer Kent,Jennifer Kent,77.0,2019,"Australia, Canada","English, Irish Gaelic, Aboriginal",988687.0,2 hours 16 minutes
Jane Eyre,7.3,Cary Joji Fukunaga,"Moira Buffini, Charlotte Brontë",76.0,2011,"United Kingdom, United States","English, French",34710627.0,2 hours
Rocky II,7.3,Sylvester Stallone,Sylvester Stallone,61.0,1979,United States,"English, Italian",85187855.0,1 hour 59 minutes
Say Anything...,7.3,Cameron Crowe,Cameron Crowe,86.0,1989,United States,English,21515196.0,1 hour 40 minutes
La Cara Oculta,7.3,Andrés Baiz,"Hatem Khraiche, Andrés Baiz, Arturo Infante",72.0,2011,"Spain, Colombia, United States",Spanish,6318409.0,1 hour 37 minutes
Blue Jasmine,7.3,Woody Allen,Woody Allen,78.0,2013,United States,English,99104804.0,1 hour 38 minutes
Red Dog,7.3,Kriv Stenders,"Daniel Taplitz, Louis de Bernières",72.0,2011,"Australia, United States","English, Polish",21185724.0,1 hour 32 minutes
I Can Only Imagine,7.3,"Andrew Erwin, Jon Erwin","Bart Millard, Jon Erwin, Brent Mccorkle",30.0,2018,United States,English,86086881.0,1 hour 50 minutes
Fish Tank,7.3,Andrea Arnold,Andrea Arnold,81.0,2009,"United Kingdom, Netherlands",English,2404300.0,2 hours 3 minutes
The Descendants,7.3,Alexander Payne,"Alexander Payne, Nat Faxon, Jim Rash",84.0,2012,United States,English,177243185.0,1 hour 55 minutes
One Hundred and One Dalmatians,7.3,"Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman","Bill Peet, Dodie Smith",83.0,1961,United States,English,215880014.0,1 hour 19 minutes
Capote,7.3,Bennett Miller,"Dan Futterman, Gerald Clarke",88.0,2006,"United States, Canada",English,49327405.0,1 hour 54 minutes
Four Lions,7.3,Christopher Morris,"Christopher Morris, Sam Bain, Jesse Armstrong",68.0,2010,"United Kingdom, France","English, Urdu, Punjabi, Arabic",6149356.0,1 hour 37 minutes
Okja,7.3,Bong Joon Ho,"Bong Joon Ho, Jon Ronson",75.0,2017,"South Korea, United States","English, Korean, Spanish",2049823.0,2 hours
Lethal Weapon 2,7.3,Richard Donner,"Jeffrey Boam, Shane Black, Warren Murphy",70.0,1990,United States,"English, Afrikaans, Danish",227853986.0,1 hour 54 minutes
La Femme Nikita,7.3,Luc Besson,Luc Besson,65.0,1990,"France, Italy","French, Italian, English",5018604.0,1 hour 57 minutes
I Origins,7.3,Mike Cahill,Mike Cahill,57.0,2014,United States,"English, Hindi",481234.0,1 hour 46 minutes
Big Night,7.3,"Campbell Scott, Stanley Tucci","Stanley Tucci, Joseph Tropiano",80.0,1996,United States,"English, Italian",12009094.0,1 hour 49 minutes
The Next Three Days,7.3,Paul Haggis,"Paul Haggis, Fred Cavayé, Guillaume Lemans",52.0,2017,"United States, France",English,67448651.0,2 hours 13 minutes
The Problem with Apu?,7.3,David Silverman,"James L. Brooks, Matt Groening, Al Jean",80.0,2007,"United States, North Korea, South Korea",English,536414293.0,1 hour 27 minutes
Waking Ned,7.3,Kirk Jones,Kirk Jones,71.0,1999,"United Kingdom, Ireland, France, United States","English, Latin, Irish Gaelic",55257450.0,1 hour 31 minutes
To Live and Die in L.A.,7.3,William Friedkin,"Gerald Petievich, William Friedkin",81.0,1985,United States,"English, Arabic, Spanish",17311746.0,1 hour 56 minutes
Pi,7.3,Darren Aronofsky,"Darren Aronofsky, Sean Gullette, Eric Watson",72.0,1998,United States,"English, Hebrew",3221152.0,1 hour 24 minutes
"Good Morning, Vietnam",7.3,Barry Levinson,"Mitch Markowitz, Adrian Cronauer",67.0,1988,United States,English,123923090.0,2 hours 1 minute
The Banker,7.3,George Nolfi,"Niceole R. Levy, George Nolfi, David Lewis Smith",59.0,2020,United States,English,1700000.0,2 hours
Lady and the Tramp,7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Ward Greene, Erdman Penner, Joe Rinaldi",78.0,1955,United States,English,93933673.0,1 hour 16 minutes
The Guard,7.3,John Michael McDonagh,John Michael McDonagh,78.0,2011,"United Kingdom, Ireland, United States","English, Irish Gaelic",19561904.0,1 hour 36 minutes
Ten Inch Hero,7.3,David Mackay,Betsy Morris,72.0,2007,United States,English,13801271.5,1 hour 42 minutes
Radio Rock,7.3,Richard Curtis,Richard Curtis,58.0,2009,"United Kingdom, France, Germany, United States","English, French, Spanish",36352467.0,2 hours 15 minutes
Eye in the Sky,7.3,Gavin Hood,Guy Hibbert,73.0,2016,"United Kingdom, Canada, United States","English, Somali",35259653.0,1 hour 42 minutes
The Ice Storm,7.3,Ang Lee,"Rick Moody, James Schamus",72.0,1997,"France, United States",English,8038061.0,1 hour 52 minutes
Grosse Pointe Blank,7.3,George Armitage,"Tom Jankiewicz, D.V. DeVincentis, Steve Pink",76.0,1997,United States,English,28084357.0,1 hour 47 minutes
My Sister's Keeper,7.3,Nick Cassavetes,"Jeremy Leven, Nick Cassavetes, Jodi Picoult",51.0,2009,United States,English,95714875.0,1 hour 49 minutes
Phantom of the Paradise,7.3,Brian De Palma,"Brian De Palma, Louisa Rose",67.0,1974,United States,English,2245.0,1 hour 31 minutes
Running Scared,7.3,Wayne Kramer,Wayne Kramer,41.0,2006,"Germany, United States","English, Russian, Spanish",9380029.0,2 hours 2 minutes
Betty Blue,7.3,Jean-Jacques Beineix,"Philippe Djian, Jean-Jacques Beineix",56.0,1986,France,French,2016851.0,1 hour 59 minutes
Femme,7.3,"Sam H. Freeman, Ng Choon Ping","Sam H. Freeman, Ng Choon Ping",69.0,2023,United Kingdom,English,385589.0,1 hour 39 minutes
The Professionals,7.3,Richard Brooks,"Frank O'Rourke, Richard Brooks",75.0,1966,United States,"English, Spanish",32260.5,1 hour 57 minutes
Paterson,7.3,Jim Jarmusch,"Jim Jarmusch, William Carlos Williams, Ron Padgett",90.0,2016,"France, Germany, United States","English, Italian",9595362.0,1 hour 58 minutes
The People vs. Larry Flynt,7.3,Milos Forman,"Scott Alexander, Larry Karaszewski",79.0,1997,United States,English,20300385.0,2 hours 10 minutes
The Last Onehorn,7.3,"Jules Bass, Arthur Rankin Jr.",Peter S. Beagle,70.0,1982,"United Kingdom, United States, Japan","English, German",6457117.0,1 hour 32 minutes
Seven Brides for Seven Brothers,7.3,Stanley Donen,"Albert Hackett, Frances Goodrich, Dorothy Kingsley",75.0,1954,United States,English,14839.0,1 hour 42 minutes
Spoiler Alert,7.3,Michael Showalter,"David Marshall Grant, Dan Savage, Michael Ausiello",61.0,2023,United States,English,1434850.0,1 hour 52 minutes
Rescue Dawn,7.3,Werner Herzog,Werner Herzog,77.0,2007,"Luxembourg, United States","English, Lao, Vietnamese",7177143.0,2 hours 5 minutes
Jason and the Argonauts,7.3,Don Chaffey,"Jan Read, Beverley Cross, Apollonios Rhodios",69.0,1963,"United Kingdom, United States",English,479.0,1 hour 44 minutes
Star Trek IV: The Voyage Home,7.3,Leonard Nimoy,"Gene Roddenberry, Leonard Nimoy, Harve Bennett",71.0,1986,United States,"English, Finnish",109713132.0,1 hour 59 minutes
Murder by Death,7.3,Robert Moore,Neil Simon,59.0,1976,United States,English,38200.0,1 hour 35 minutes
Invictus,7.3,Clint Eastwood,"Anthony Peckham, John Carlin",74.0,2010,United States,"English, Afrikaans, Maori, Zulu, Xhosa, Sotho",122426792.0,2 hours 14 minutes
House,7.3,Nobuhiko Ôbayashi,"Chiho Katsura, Chigumi Ôbayashi",75.0,1977,Japan,Japanese,218872.0,1 hour 28 minutes
Thirteen Days,7.3,Roger Donaldson,"David Self, Ernest R. May, Philip D. Zelikow",67.0,2001,United States,"English, Russian, Spanish, Romanian",66579890.0,2 hours 25 minutes
Cha Cha Real Smooth,7.3,Cooper Raiff,Cooper Raiff,69.0,2022,United States,English,3253561.5,1 hour 47 minutes
Clerks II,7.3,Kevin Smith,Kevin Smith,65.0,2006,United States,English,26986174.0,1 hour 37 minutes
Siu Lam Juk Kau,7.3,Stephen Chow,"Stephen Chow, Kan-Cheung Tsang, Min-Hun Fung",68.0,2004,"Hong Kong, China","Cantonese, Mandarin",42776760.0,1 hour 53 minutes
What's Love Got to Do with It,7.3,Brian Gibson,"Tina Turner, Kurt Loder, Kate Lanier",76.0,1993,United States,English,39100956.0,1 hour 58 minutes
Eight Below,7.3,Frank Marshall,"David DiGilio, Toshirô Ishidô, Koreyoshi Kurahara",64.0,2013,United States,English,120455994.0,2 hours
The 12th Man,7.3,Harald Zwart,Petter Skavlan,70.0,2017,Norway,"Norwegian, German, English, Saami",9567121.0,2 hours 15 minutes
Alice Doesn't Live Here Anymore,7.3,Martin Scorsese,Robert Getchell,78.0,1975,United States,English,18600211.0,1 hour 52 minutes
Antwone Fisher,7.3,Denzel Washington,Antwone Fisher,62.0,2003,United States,"English, Japanese",23367586.0,2 hours
Seabiscuit,7.3,Gary Ross,"Laura Hillenbrand, Gary Ross",72.0,2003,United States,English,148336445.0,2 hours 20 minutes
20th Century Women,7.3,Mike Mills,Mike Mills,83.0,2017,United States,English,7214806.0,1 hour 59 minutes
The Negotiator,7.3,F. Gary Gray,"James DeMonaco, Kevin Fox",62.0,1998,"Germany, United States",English,44547681.0,2 hours 20 minutes
Belle,7.3,Amma Asante,Misan Sagay,64.0,2014,United Kingdom,"English, French, Latin",16607575.0,1 hour 40 minutes
Eddie the Eagle,7.3,Dexter Fletcher,"Simon Kelton, Sean Macaulay",54.0,2016,"United Kingdom, Germany, United States","English, German, Norwegian",46152800.0,1 hour 46 minutes
Local Hero,7.3,Bill Forsyth,Bill Forsyth,84.0,1983,United Kingdom,"English, Russian, Japanese",5975220.0,1 hour 51 minutes
A Million Miles Away,7.3,Alejandra Márquez Abella,"Bettina Gilois, Hernán Jiménez, Alejandra Márquez Abella",62.0,2023,"Mexico, United States",English,4609670.5,2 hours 1 minute
Nosotros los Nobles,7.3,Gary Alazraki,"Gary Alazraki, Adrian Zurita, Patricio Saiz",72.0,2013,Mexico,Spanish,26433651.0,1 hour 48 minutes
Entergalactic,7.3,Fletcher Moules,"Kid Cudi, Kenya Barris, Ian Edelman",72.0,2022,"United Kingdom, Canada, United States",English,3253561.5,1 hour 33 minutes
The Gods Must Be Crazy,7.3,Jamie Uys,Jamie Uys,73.0,2016,"South Africa, Botswana","English, Afrikaans, Ungwatsi",30031783.0,1 hour 49 minutes
Bambi,7.3,"James Algar, Samuel Armstrong, David Hand","Felix Salten, Perce Pearce, Larry Morey",91.0,1942,United States,English,267447150.0,1 hour 9 minutes
Belladonna of Sadness,7.3,Eiichi Yamamoto,"Jules Michelet, Yoshiyuki Fukuda, Eiichi Yamamoto",70.0,1973,Japan,Japanese,54510.0,1 hour 26 minutes
This Boy's Life,7.3,Michael Caton-Jones,"Tobias Wolff, Robert Getchell",60.0,1993,United States,English,4104962.0,1 hour 55 minutes
My Favorite Wife,7.3,Garson Kanin,"Bella Spewack, Sam Spewack, Leo McCarey",72.0,1940,United States,English,31111.0,1 hour 28 minutes
Caché,7.3,Michael Haneke,Michael Haneke,87.0,2005,"France, Austria, Germany, Italy",French,16197824.0,1 hour 57 minutes
The Squid and the Whale,7.3,Noah Baumbach,Noah Baumbach,82.0,2005,United States,English,11098131.0,1 hour 21 minutes
Seul Contre Tous,7.3,Gaspar Noé,Gaspar Noé,77.0,1999,France,French,6955.0,1 hour 33 minutes
The Bad News Bears,7.3,Michael Ritchie,Bill Lancaster,84.0,1976,United States,"English, Spanish",32211330.0,1 hour 42 minutes
Village of the Damned,7.3,Wolf Rilla,"Stirling Silliphant, Wolf Rilla, Ronald Kinnoch",77.0,1960,"United Kingdom, United States",English,17781.0,1 hour 17 minutes
A Shot in the Dark,7.3,Blake Edwards,"Blake Edwards, William Peter Blatty, Harry Kurnitz",70.0,1965,"United Kingdom, United States","English, Spanish",12368817.0,1 hour 42 minutes
Driving Miss Daisy,7.3,Bruce Beresford,Alfred Uhry,81.0,1990,United States,"English, Hebrew",145793296.0,1 hour 39 minutes
A Canterbury Tale,7.3,"Michael Powell, Emeric Pressburger","Michael Powell, Emeric Pressburger",85.0,1946,United Kingdom,English,40090.5,2 hours 4 minutes
Angela's Ashes,7.3,Alan Parker,"Frank McCourt, Laura Jones, Alan Parker",54.0,2000,"United States, United Kingdom, Ireland","English, Latin",13042112.0,2 hours 25 minutes
Moby Dick,7.3,John Huston,"Ray Bradbury, John Huston, Norman Corwin",78.0,1956,United States,English,353.0,1 hour 56 minutes
En kärlekshistoria,7.3,Roy Andersson,Roy Andersson,72.0,1970,Sweden,"Swedish, Spanish",169374.0,1 hour 55 minutes
Get Carter,7.3,Mike Hodges,"Mike Hodges, Ted Lewis",80.0,1971,United Kingdom,English,60404.0,1 hour 52 minutes
The Ultimate Gift,7.3,Michael O. Sajbel,"Cheryl McKay, Jim Stovall",49.0,2007,United States,"English, Spanish",3438735.0,1 hour 58 minutes
Woman in Gold,7.3,Simon Curtis,"Alexi Kaye Campbell, E. Randol Schoenberg, Maria Altmann",51.0,2015,"United Kingdom, United States","English, German, Hebrew",61619773.0,1 hour 49 minutes
L'appartement,7.3,Gilles Mimouni,Gilles Mimouni,72.0,1996,"France, Spain, Italy","French, English, Japanese",6296790.0,1 hour 56 minutes
Der Hauptmann,7.3,Robert Schwentke,Robert Schwentke,67.0,2018,"Germany, France, Poland, Portugal, China",German,1197218.0,1 hour 58 minutes
Assault on Precinct 13,7.3,John Carpenter,John Carpenter,89.0,1976,United States,English,436.0,1 hour 31 minutes
Little Boy,7.3,Alejandro Monteverde,"Alejandro Monteverde, Pepe Portillo",30.0,2015,"Mexico, United States",English,17572289.0,1 hour 46 minutes
Beau travail,7.3,Claire Denis,"Claire Denis, Jean-Pol Fargeau, Herman Melville",91.0,2000,France,"Greek, French, Italian, Russian",4104.0,1 hour 32 minutes
Finding Forrester,7.3,Gus Van Sant,Mike Rich,62.0,2001,United States,"English, German",80049764.0,2 hours 16 minutes
Lucky,7.3,John Carroll Lynch,"Logan Sparks, Drago Sumonja",80.0,2017,United States,"English, Spanish",2728446.0,1 hour 28 minutes
Mr. Holland's Opus,7.3,Stephen Herek,Patrick Sheane Duncan,59.0,1996,United States,"English, American Sign Language",106269971.0,2 hours 24 minutes
Stand and Deliver,7.3,Ramón Menéndez,"Ramón Menéndez, Tom Musca",77.0,1988,United States,"English, Spanish",13994920.0,1 hour 43 minutes
In Harm's Way,7.3,Otto Preminger,"Wendell Mayes, James Bassett",72.0,1965,United States,"English, French, Japanese",90869.0,2 hours 45 minutes
Christmas in Connecticut,7.3,Peter Godfrey,"Lionel Houser, Adele Comandini, Aileen Hamilton",64.0,1945,United States,"English, German",24113.0,1 hour 41 minutes
Broadcast News,7.3,James L. Brooks,James L. Brooks,84.0,1987,United States,"English, Spanish, French, German",67331309.0,2 hours 13 minutes
The Proposition,7.3,John Hillcoat,Nick Cave,73.0,2005,"Australia, United Kingdom","English, Aboriginal",5048893.0,1 hour 44 minutes
24 Hour Party People,7.3,Michael Winterbottom,Frank Cottrell Boyce,85.0,2002,United Kingdom,English,2802899.0,1 hour 57 minutes
Il mio nome è Nessuno,7.3,Tonino Valerii,"Sergio Leone, Fulvio Morsella, Ernesto Gastaldi",68.0,1973,"Italy, France, West Germany",Italian,54510.0,1 hour 56 minutes
nobody's Fool,7.3,Robert Benton,"Richard Russo, Robert Benton",86.0,1995,United States,English,39491975.0,1 hour 50 minutes
Hope and Glory,7.3,John Boorman,John Boorman,86.0,1989,"United Kingdom, United States",English,10021120.0,1 hour 53 minutes
Carne Trémula,7.3,Pedro Almodóvar,"Pedro Almodóvar, Ruth Rendell, Ray Loriga",69.0,1997,"Spain, France","Spanish, Italian, Bulgarian",1786844.0,1 hour 43 minutes
Bud Abbott and Lou Costello Meet Frankenstein,7.3,"Charles Barton, Walter Lantz","Robert Lees, Frederic I. Rinaldo, John Grant",69.0,1948,United States,English,4812444.0,1 hour 23 minutes
Detroit,7.3,Kathryn Bigelow,Mark Boal,77.0,2017,United States,English,23355100.0,2 hours 23 minutes
Bad Boy Bubby,7.3,Rolf de Heer,Rolf de Heer,72.0,1994,"Australia, Italy",English,2062.0,1 hour 54 minutes
The Queen,7.3,Stephen Frears,Peter Morgan,90.0,2006,"United Kingdom, United States, France, Italy","English, German, French",124925340.0,1 hour 43 minutes
Waterloo,7.3,Sergey Bondarchuk,"H.A.L. Craig, Sergey Bondarchuk, Vittorio Bonicelli",72.0,1970,"Italy, Soviet Union, United States",English,56650.5,2 hours 14 minutes
Ragtime,7.3,Milos Forman,"E.L. Doctorow, Michael Weller, Heinrich von Kleist",57.0,1981,United States,English,14920781.0,2 hours 35 minutes
Deconstructing Harry,7.3,Woody Allen,Woody Allen,62.0,1998,United States,"English, Hebrew",10686841.0,1 hour 36 minutes
The Walk,7.3,Robert Zemeckis,"Robert Zemeckis, Christopher Browne, Philippe Petit",70.0,2015,United States,"English, French, Czech",61181942.0,2 hours 3 minutes
Our Friend,7.3,Gabriela Cowperthwaite,"Brad Ingelsby, Matthew Teague",57.0,2021,"United States, United Kingdom",English,795506.0,2 hours 4 minutes
Ronia: The Robber's Daughter,7.3,Tage Danielsson,Astrid Lindgren,72.0,1984,"Sweden, Norway","Swedish, English, German",11801047.0,2 hours 6 minutes
Tess,7.3,Roman Polanski,"Thomas Hardy, Gérard Brach, Roman Polanski",82.0,1979,"United Kingdom, France",English,20101247.0,3 hours 6 minutes
The Wanderers,7.3,Philip Kaufman,"Richard Price, Rose Kaufman, Philip Kaufman",64.0,1979,United States,"English, Italian",14492.0,1 hour 52 minutes
Point Blank,7.3,John Boorman,"Alexander Jacobs, David Newhouse, Rafe Newhouse",86.0,1967,United States,English,33122.0,1 hour 32 minutes
Ghajini,7.3,A.R. Murugadoss,"Piyush Mishra, A.R. Murugadoss, Athar Nawaaz",72.0,2008,India,"Hindi, English, Urdu",38316584.0,3 hours 6 minutes
Far from Heaven,7.3,Todd Haynes,Todd Haynes,84.0,2003,"United States, France",English,29027914.0,1 hour 47 minutes
Jin-Roh: The Wolf Brigade,7.3,"Kenji Kamiyama, Hiroyuki Okiura","Mamoru Oshii, Satoshi Kon",59.0,1999,Japan,Japanese,95279.0,1 hour 42 minutes
Hustle & Flow,7.3,Craig Brewer,Craig Brewer,68.0,2005,United States,English,23563727.0,1 hour 56 minutes
Irma La Douce,7.3,Billy Wilder,"Alexandre Breffort, Billy Wilder, I.A.L. Diamond",63.0,1963,United States,English,52.0,2 hours 27 minutes
